epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,784.112,0.70644,0.6958,1.06546,0.65742,0.47125,0.52512,0.34753,1.1636,1.54742,1.45419,0.000498048,0.000498048,0.000498048
10,871.186,0.68484,0.66971,1.05379,0.6493,0.49021,0.54333,0.3665,1.17552,1.52846,1.44295,0.000497531,0.000497531,0.000497531
11,958.61,0.66548,0.64688,1.04562,0.66885,0.51965,0.57628,0.39217,1.16023,1.3679,1.44879,0.000496953,0.000496953,0.000496953
12,1046.41,0.64686,0.62447,1.03184,0.6527,0.52349,0.58093,0.39836,1.10115,1.37413,1.35693,0.000496315,0.000496315,0.000496315
13,1133.99,0.62948,0.60577,1.02411,0.64034,0.54736,0.58682,0.40681,1.14004,1.39497,1.41878,0.000495616,0.000495616,0.000495616
14,1221.67,0.61438,0.5913,1.0163,0.68734,0.54126,0.60469,0.41187,1.1175,1.31524,1.378,0.000494858,0.000494858,0.000494858
15,1309.28,0.60076,0.57657,1.01325,0.69084,0.53677,0.6027,0.41859,1.14355,1.30918,1.44586,0.000494039,0.000494039,0.000494039
16,1396.78,0.59148,0.56649,1.00904,0.71339,0.51939,0.60221,0.41798,1.09914,1.32434,1.37918,0.000493162,0.000493162,0.000493162
17,1484.11,0.58078,0.55144,0.99922,0.69043,0.57236,0.62636,0.43853,1.0897,1.13094,1.39373,0.000492224,0.000492224,0.000492224
18,1571.49,0.56655,0.53958,0.99448,0.68197,0.55267,0.61656,0.43078,1.07404,1.2436,1.35544,0.000491228,0.000491228,0.000491228
19,1658.54,0.5644,0.53267,0.99247,0.72547,0.55261,0.63239,0.44747,1.04137,1.13809,1.3181,0.000490173,0.000490173,0.000490173
20,1745.96,0.55414,0.52501,0.98829,0.69331,0.58036,0.63984,0.44984,1.0382,1.09661,1.32673,0.000489059,0.000489059,0.000489059
21,1833.32,0.54884,0.51923,0.98595,0.70057,0.57804,0.64225,0.44796,1.0416,1.15894,1.33588,0.000487886,0.000487886,0.000487886
